景区名称,用户名,评论内容,标签
珍珠泉,午后的夏至,珍珠泉在人大常委院子里面，门口有保安，不用紧张，可以直接进入，但是除了锦鲤没什么看头，珍珠泉是一点突突都没看到。。。,positive
青岛太平角公园,——————,太平角公园。这是个滨海的公园，面积不大，有草坪有绿树，环境还不错。,positive
微山湖微山岛景区,溪雨落,“西边的太阳快要落山了，微山湖上静悄悄，弹起我心爱的土琵琶，唱起那动人的歌谣……”因电影《铁道游击队》而闻名全国的微山湖位于山东省济宁市微山县。铁道游击队纪念碑园20元；微山岛文化园30元；微子墓10元,positive
青岛路老建筑群,赵火丁,在青岛你才能感受到红砖绿雅是如何一番美景！到处充满了德占时期哥特式老建筑的气息！在这里简直是拍街景的天堂！,positive
朱家峪村,冬凌草,山石铺就的古道中央，嵌有两溜大块青石，形似铁路，村民们形象地称其为“双轨”古道。“双轨”不为好看，而有其独特的用途。早年村里就规定，走路必须靠右行，两股道自然也分成了上下行，这与今天的交通规则不谋而合。,positive
仙境源,啵儿妞,仙境源大致也似海边公园，貌似并没有多大，何处都能拥抱大海。仙境源，景如其名，青天白云，海水碧蓝。走在彩虹道上，心情很是舒爽。很想余生就这样靠在男朋友的肩上，吹吹海风，看看海浪，潇洒自在。,positive
九水游览区,Jenny季妮,枯水期的时候没有多少的水，一路走到最里面的时候，正好又当地的三十几个同学在那里搞烧烤活动，还是非常热闹的。整个景区走一走看一看大概2个小时，是从上往下走，然后再出来，小孩的话，如果脚力不行，家长还是要考虑一下，因为抱着真是太累了哦。,positive
云门山,MissPuff,云门山不高，上面有大大的寿字，风景一般，早晨去晨练一下挺好的。,positive
巨峰景区,Olivier,最清晰的脚印，往往在最泥泞的路上；最美丽的风景，常常在最险峻的山顶,positive
东炮台海滨风景区,【繁荣背后】,位于蓬莱阁内，进去需要买门票从上面可以一览无余，景色很不多，也很有历史韵味。个人感觉这是蓬莱阁最有意思的地方了,positive
山东地下大峡谷,不冷的七八月,很棒，天然而成的东西都是值得赞美的,positive
王羲之故居,zhizhimiao,很漂亮的小园子，王羲之四岁以前生活过的地方，还有许多书法家的作品。,positive
蓬莱水城,赵永泉,蓬莱亲子游，登上蓬莱阁俯瞰蓬莱水城。,positive
公主楼,哆啦A玲,说在1929年，有一位丹麦王国的王子乘坐“菲欧尼亚”号豪华客轮来青岛游览观光。当他来到湛山海滨时，深为八大关美丽的海滨风光所吸引。1931年，丹麦王国在青岛设立了领事馆，首任领事叫赵亨生。丹麦王子遂委托赵亨生在八大关海滨购置土地，按照安徒生童话中的意境设计建造了这座丹麦古典式建筑，准备将其作为礼物赠送给丹麦公主。虽然丹麦公主最终没有来过青岛，但“公主楼”的名字仍不胫而走，广为传播。,positive
济南方特东方神画,苏?小胖,我们第一个挑战项目是ufo中间省略各种反转尖叫同伴下来说这都是什么玩意儿我眼睛差点甩掉了，我说哈哈好玩儿吧，同伴说我还是喜欢领略祖国的大好河山爬个山啥的哈哈第二个挑战项目极地飞车，我自己飞了，同伴等的我没上第三个项目丛林飞龙同伴不让我上第四个项目鬼屋我拉着同伴进去的，都是道具音效倒是很害怕不过跟着搭话也挺有意思的第五个项目惊魂之旅我拽着同伴进去告诉他过十八层地狱的没事，哈哈其实是室内过山车同伴下来说啥也不跟我去激流勇进了第六个项目熊出没剧场，啦啦啦旋转剧场很有意思感慨为啥没有带宝宝来第7个8个激流勇进和小漂流玩的一身水，同伴已经适应了剩下的剧场也很好看特效都超赞我们看了孟姜女和水淹金山寺，超震撼不剧透园内吃的晚餐米饭套餐鱼香肉丝很好吃又去了女娲补天6d身临其境的感受保护五彩石临近闭园我们又去火焰山，同伴一听360度高空旋转跑了，留我跟另一对情侣一起坐的，还好还好好玩儿也不太刺激因为虽然高空旋转了可是速度慢又有剧情一点不可怕最后又被我拉着二刷了女娲补天下午2点进园晚上9点半出园,positive
回澜阁,哆啦A玲,1892年，清政府青岛驻军在此搭起了一座铁木结构、以木铺面的栈桥，长约200米，专供装卸军用物资之用。德国侵占青岛后，对栈桥加以改建，桥身延长至350米，并在桥上铺设了轻便铁轨，专事运输由德国运来的军需物资、大港码头建成后，栈桥遂向市民开放。1931年，国民党青岛市政府为适应旅游需要，投资25.8万元，由德商信利洋行承包重建，桥身延长至400米，全部改用水泥铺面，并设有排水设备，桥南端增建半园形防波堤，堤上新建一座中国民族传统风格的双层飞檐八角亭阁，名“回澜阁”。阁顶覆以黄色琉璃瓦，四周有24根圆形亭柱。阁内为二层圆球形厅堂，中央有34级螺旋式阶梯，可回旋登上二楼。全部工程于1933年4月竣工。,positive
王羲之故居,&小青年,王羲之故居坐落在山东省临沂市兰山区砚池街，交通便利，门票便宜,positive
颜庙,坚果,颜会家境清贫，却潜心好学，一直受到孔子称赞，也得到后人的尊敬。相比孔庙来说，颜庙冷清了不少，更幽静势必更好玩。,positive
一天门,霞浦林生,是从红门路线开始爬泰山看到的第一块石牌坊，在红门宫之前，也就是说还没到售票点你就会看到一天门的牌坊了，之后是孔子登临处的牌坊，再之后才是红门。,positive
潍坊世界风筝博物馆,pretty,很有当地特色，各式各样的风筝，但是相对来说介绍有点少,positive
九水游览区,水水,还没天目湖的好，最大的瀑布竟然一滴水都没有，排名这么前面也是醉了,positive
崂山太清宫,麻花小姐爱旅行,我不是觉得太清宫不好，是觉得崂山这个景区门票有问题。门票是，太清宫+华严寺+仰口的联票，加景区的大巴车，130。可是你到了太清宫会检票，问题进入太清宫还要买票。我就纳闷了如果人家不去华岩寺和仰口的凭啥买那票呢？问题是你不买你就进不来太清宫大门?。真无语。话说太清宫景区还是值得一看的毕竟也是有历史的地方。基本上溜达一个小时够了吧，可以找个导游，我们租了讲解机也还不错。,negative
烟台月亮湾,伴山风而行,傍晚的月亮湾reallyamazing，千万别在阴雨天或大白天来，否则你会错过一道令人窒息的美。这儿的美，感觉上可以与香格里拉的伊拉草原、日本箱根的芦之湖媲美，但比芦之湖美得更加大气和持久。,positive
威海影视文化城,婷在这一刻,这个经典好坑爹，开了很久的车才到这个地方，去了以后发现根本就关门了。没有一点人气的说~,negative
护城河环城公园,背影,挺美丽的，我也很喜欢这个地方一直想去,positive
烽山公园,wenying999,林海景区和烽山景区相连。在烽山顶可以看到长岛全貌，风景不错。,positive
大观园（济南）,starry炫酷褚,很一般一点也不热闹跟男票一起去的一会会就走了,neutral
竹泉村旅游度假区,小花,夏天去很凉快、适合亲子游、而且附近还有温泉,positive
明故城,浴火为龍,曲阜明故城始建于明朝，为护卫孔庙而建。明故城内分布着孔庙、孔府、颜庙以及历代孔宅府第、古泮池乾隆行宫等文物古迹，集中体现了鲁国古都曲阜古老的城市风貌和深厚的文化古韵。上世纪70年代末，曲阜明故城城墙大部分被拆除。,positive
泰山风景名胜区-十八盘,哎呀哎呀,整个登山过程中最艰难的一段路程,positive
山东省科技馆,wslff,小朋友学习各种知识的场所，大人可以陪着进去玩，地方很大，个别娱乐有一定的危险性。,positive
中华泰山封禅大典,婷在这一刻,一个比较独特的室外演出。准确的给游客讲述了封禅历史，不错。值得一看！,positive
潍坊世界风筝博物馆,相忘于江湖,好评好评好评，重要的事情说三遍,positive
南山公园,傲娇洁g,是一个很大的公园，健身跑步娱乐都可以，绿化面积也很大，里面有小吃和动物园,positive
石岛赤山景区,雪球狂舞,赤山风景区，位于山东半岛最东端的荣成市石岛地区，因其山石赤红而得名。,positive
青岛火车站,偏坠的小螃螃,青岛的地标，很有特色，必打卡之地。,positive
鱼山路,陈小牧,比较静谧，适合文青去走走，喜欢在这里拍照。,positive
黄河入海口湿地公园,一俗人,很不错的风景，看起来很棒，很值得推荐,positive
德国风情街,ζ﹏?　　　命ゝSoul﹌?　,被这条街坑了，，走出去才知道是德国风情街。。。不推荐大家去，浪费时间,negative
德国监狱旧址博物馆,小白立方,这个景点真的没有必要去啊，里面的监狱不是想象中那种，就是一个个红木地板的小单间，很没意思，还要门票，很不推荐，当然爱国或者法制教育除外。,positive
泰山风景名胜区-日观峰,白旭波,在泰山顶端的偏东南侧，但主要朝向东方，也是看日出的好地方。,positive
天外村,Young,建得很壮观，很宽阔，大部分人都是来这里坐车到中天门的。在这里直接买的泰山门票+车票，全价一共150多，我们买的学生票，还是很划得来的。然后就是在这里排队坐车上山，像我们这种体力一般，又想爬山的人来说，这条路线还是不叫不错的，但是也还是比较累。,positive
金沙滩旅游度假区,疯狂的桔子,晴天的时候很漂亮，海边还有殖民时期留下来的小洋楼，别有风味,positive
八仙过海景区,一粒沙,http:\/\/www.mafengwo.cn\/i\/7761884.html,neutral
老舍故居,小狗熊,据我所知应该也是有居民居住吧，只能在外面瞻仰,positive
颜庙,huanjuedeyu,颜庙位于山东省曲阜城北门内，与孔府后花园隔街遥对，是祭祀孔子大弟子颜回的祠庙。孔子曾经称赞说:“一箪食，一瓢饮，居陋巷，人不堪其忧，回也不改其乐，贤哉回也”。这也是“陋”的真正内涵。走入期间，就可以看出些与陋的深意来，比如颜庙所在的陋巷、庙内的陋巷井、陋巷井亭等。复圣门里有陋巷井，外围有八角露天方亭。井北有明代树立的“陋巷井”石碑，是为纪念颜回“一箪食，一瓢饮，居陋巷”的俭朴品德而立。复圣殿是正殿。东西两庑院把颜家后世的贤人，如颜子推、颜真卿和颜师古等人。颜庙内共有碑碣60余块。其中有两块是元朝所立的“大元敕赐先师充国复圣公新庙碑”和“大元加封颜子父母制词碑”。两碑均用古蒙古文与汉文对照刻成，上面记述了当时加封颜回及其父母的情形，这对于研究古文字学有一定的价值。2001年06月25日，颜庙作为元至清代古建筑，被国务院批准列入第五批全国重点文物保护单位名单。,positive
天烛峰,ting安静的小情绪,站在高峰之上，纵观景观的雄伟与美丽。,positive
威海国际海水浴场,小鱼儿,沙滩很细腻，踩上去非常软，而且可以赶海挖蛤。可以悠闲的过一个下午，建议夏天来，其他时间很冷清。,positive
威海公园,行走南国的背包客,就一个普通的城市公园，缺乏特色。,negative
南山旅游景区,鹿的猫,烟台龙口南山景区位于龙口市中南部山区，总面积14平方公里，由中国500强企业——南山集团投资建设，2010年8月，经山东省人民政府批准设立（鲁政字〔2010〕201号）。,positive
台儿庄大战纪念馆,风过云淡,台儿庄大战纪念馆是对国民党抗日比较中肯的评价和纪念,positive
青岛邮电博物馆,许小仙Ace,有空顺便去看看就可以，感觉没必要特意花时间去看…,neutral
烟台山景区,zero红鹤,就是一个免费的公园没什么管理自由的玩就好散心不错,positive
张裕酒文化博物馆,Kapok,门票最低80不是网上写的50不知道是不是5.1调价品两种酒+白兰地DIY(100ml可雅系列38°其实就是从酒桶接出白兰地自己盖上盖子贴酒标)学生25不含品酒和DIY了解百年张裕历史，学习葡萄酒知识不二之选,positive
觅天洞,Reusven,崂山风景区很大，加上时间有限，所以主要游了仰口。上山时本来打算搭乘索道，但是因为国庆黄金周排队的人太多，所以最后选择徒步上山。上山时沿途风景不错，但不够惊艳，直到上了觅天洞。觅天洞是我最推荐的地方，爬上去后视野非常开阔，美景尽收眼底，计划去仰口的朋友千万不要错过。排队时会有出租手电的摊子，个人认为没有必要租，手机自带的手电筒就足够了。因为觅天洞里又窄又滑，所以带孩子的家长千万要注意安全！,positive
青岛国际啤酒节西海岸主会场,_貓懶懶,"没有大连啤酒节大～装扮\/活动等都感觉没有大连好，然后青岛人民都不喝青岛啤酒,用塑胶袋称的崂山啤酒才是大家的最爱呢～?",positive
小青岛,KK,小青岛的入口处正是海军博物馆的后门。所以走在堤坝上，能看到退役的军舰。小青岛很小，绕行一圈花不了什么时间。我倒是觉得，这是周边居民晨练的一个好去处~,positive
康有为故居,好逑丶,康有为故居就在名人故居一条街上，很优雅的一栋房子，有气质，遗憾的是去晚了关门了。,negative
彩石溪,陌生人,超级赞的美景。溪水在彩石上流过，彩石犹如一条条的彩带，阳光下，分外生动，美不胜收。。。,positive
胶澳总督府旧址,Helena,刚好经过，也是挺有德国建筑风格的馆。,positive
五月的风,陌生人,18年5月份到了五月的风，的确和南方不一样，这时的天气还是微凉有风，拍出的照也是比较有感觉。,positive
菏泽曹州牡丹园,深海蓝,小姨的大儿，张龙结婚了，这小子！长大了！不在是那个跟在我屁股后边玩的小家伙了！！这事肯定的去小姨家一趟，顺便玩几天！到菏泽路真的很方便啊，走高速两个小时！进本直达了！菏泽的牡丹很有名！但是我们去的时间好像有点晚！反正去了菏泽的那个最大的牡丹园的时候，发现除了叶子，好像都看不到花！小姨家在农村！很干净的小院子！反正每次来住这里感觉都很安静和舒心！,positive
养马岛,灰太狼,岛上有天马广场、赛马场、海滨浴场、海上世界、御笔苑等娱乐景点，是度假观光的好去处,positive
青岛海底世界,紫色的泡泡?,博物馆、展览、标本很多，没有海狮海豹表演，海底隧道很棒，孩子小一点可以来这里,positive
彩石溪,浮年,泰山上山路边一直都有谁，有山有水有树林。,positive
八仙过海景区,未学,日出很漂亮，沙子也很柔软拍照很不错的,positive
山东博物馆,素腕浣雪,作为昔日圣贤荟萃的齐鲁文化源地，山东省博物馆自然不容错过。博物馆离市区较远，建议打车前往。我们大概中午抵达博物馆，访客不多，凭借身份证可以免费自助取票。与人满为患的陕西历史博物馆相比，山东博物馆可谓难得的清净，适于清心参观、回味历史。【故宫养心殿】展览是这里的招牌展，山东博物馆与故宫合作，致力于还原故宫养心殿的样貌风情。展馆仿照了养心殿的建筑外观与内部陈设，在齐鲁大地上打造了一方紫禁城宫殿。《步步惊心》的粉丝千万不要错过这里，近距离体会若曦与四爷相知相守之地。除了【故宫养心殿】，博物馆里最值得看的乃是【十大镇馆之宝】。这是山东省文物局结合专家与民众的意见遴选出的十件宝贝，可谓优中选优。十大镇馆之宝的详细介绍请戳：http:\/\/www.sdsqw.cn\/photo\/sdpic\/201103\/article_16059.html,positive
淄博市博物馆,就是爱玩,淄博境内的临淄是春秋到西晋时期山东第一大城市，春秋到西汉世界上最大的城市，当时中国的经济中心，博山县是汉代中国冶铁的重要中心，但是后来都衰落了，所以淄博市博物馆馆藏文物主要体现在汉代以前文物上，这里的环形玉佩、玉组佩、千佛碗、汉代齐王墓出土鸡鸣鎏金青铜戈等文物都值得一看。一楼是馆藏精品文物和西汉齐王墓出土文物，值得看的藏品都在这里面，楼上就没什么文物值得看了。,positive
烟台山景区,逛吃逛吃的胖子,烟台山景区位于烟台市区北端，是一座三面环海的山海景公园，山上有始建于明代的烽火台，烟台便因这“狼烟墩台”而得名。景区内有很多漂亮的西洋老建筑，山顶的灯塔是烟台的标志性建筑，登上灯塔瞭望台，海岸风光和沿海而建的城市全貌可尽收眼底。从海韵广场出来后，没有再去东炮台，而是沿着海滨一路直行，来到了烟台山。不知道是先有的烟台山还是先有的烟台市，谁得名于谁？说起来也是很有缘分，福州也有一座烟台山，我家就住在福州的烟台山上。福州的烟台山同样也有很多的老洋房，也曾经是外国人的租界，要论起开埠的时间福州的烟台山还要早得多。不过福州烟台山上的老建筑保护的不好，而且也不够集中，从知名度上来说，远远比不上我现在所在的这座烟台山。烟台开埠的陈列馆，用原来的老洋房改造的，到的比较晚，没有进去看。,positive
云步桥,旁道路人,很喜欢的一个去处适合拍照留念,positive
环海路风景线,zhm_jinan,个人感觉非常好的地方，尤其是开车兜风非常舒服,positive
仰口风景游览区,却,2017.11.18服务区有很多导游吧，就是让你包车的，说大巴时间间隔太久什么的反正就是不好，我们最后还是选择了大巴。而且实践证明大巴还是很方便的，大概20分钟一趟。天没有早晨那么蓝了，变成是多云，但是太阳出来的时候海边是特别美，就拍了很多，然后走着去了太清景区，路上特别美，远方的公路，太阳和海，整个人都很轻松愉快。再次翻出照片看，风景美的就像是假的一样。到了太清景区，应该是道教，简单溜达了一圈，最惹人注目的是特别高的老子尊像，远远的就能看到，一位执教者的姿态。太清宫地形也是陡坡，山脊，秋结束之际，叶子落了一地，还有湛红的枫叶让人特别欢喜。其实还看到了道士在进行某种仪式，还有摄影机录像机，不过觉得没那么正式，也还是敬佩，那些选择信仰的人。但我没拍照也没录像，总觉得不那么尊重。华岩寺这站没下车，因为出发的太晚了，仰口一定要去，最开始青岛攻略的时候就看到崂山顶的城市全景了。也是因为以后还会来，所以就略掉了。最后一站就是仰口，做好了登山的准备，缆车停运了，但是不停我也会爬上去，因为爬山的乐趣，只有自己明白。一定要带充足的食物和水，因为天气燥热，风很大，有栈道，但是也有陡坡，并不容易，所以我的两个朋友在中途放弃了，留我一个人挣扎。途中有视野空旷一点的地方，能看到远方，没到山顶，我就觉得很震撼，所以坚定了爬上去的决心。路途中偶遇几只猫，不怕人，也不近人。看游记发现好多人都遇见过它们，不知道它们如何生活，大概是有山神的庇佑，也是孤独旅人的陪伴。让枯燥又劳累的登山，有了一丝暖意。登的越高，看到的风景就越好，我们坚持一些事，可能结果没那么满意，但是过程是一种享受。在我不断的停停走走之后，终于看到了希望，登顶之前有个岔路口，当然，我选择错了，我选择了左边，因为没有提示牌。这个山顶很有意思，是有一个容纳一人的洞，从这个洞上去就到顶了，但是因为我走错了，从下山口上去的，所以没经过这个洞，等我下山才知道，所以是个遗憾，下次来弥补上啦。不过山顶的景色也足够我神往。原谅我拍照技术，因为肉眼的视觉我真的拍不来，可以去百度一下图片，真的就是图片中那么美。那天天气晴转多云，登顶已经是傍晚，夕阳在另一头，所以只有余晖，云彩也不多，但也足够震撼我。上面有一点危险，虽然是拦住的，所以要加倍注意安全。远眺下去，就是青岛的大部分，心旷神怡也心境开阔，所以山是一定要登的。,neutral
一天门,鹿的猫,都是泰山的景，没话可说，不错，来了就知道了,positive
泰山风景名胜区-日观峰,沈天行,泰山顶上视野最好的位置，去了肯定要在那拍照,positive
日照海滨国家森林公园,yhl111,园内风景还可以，入院时工作人员坚持要求补全票（15岁），说什么九年义务教育（？）真是够可以的?大家也记得要带相关证件，省得麻烦人家，麻烦自己。,positive
青岛世界园艺博览会,~桃花鱼~,个人感觉比这些城市的园艺博览会规模和形式来说，青岛世园会要逊色得多，没有去过诸如此类园博园的朋友们，又没有太多时间远行的，可以带自己的宝贝来参观一番噢！毕竟这在山东还是首次有这么大规模的世界园艺博览会，长长知识还是不错滴！,positive
巨峰景区,赵火丁,可以做缆车登顶，速度也比较快的,positive
泰安方特欢乐世界,shi,10月27日去的，在周围吃了据说是当地的特色“炒鸡”，一次就够了。还是素食符合我的胃口。下午去的，门票220元，人不多，可能不是节假日的原因吧。体验了一下，不适合小朋友，孕妇，心脏病，高低血压的朋友。里面大同小异，基本上都是刺激的项目！,positive
万佛洞,幸运草,在千佛山那边，进了万佛洞，会被里面千姿百态的佛像震撼到。,positive
石老人海滨浴场,悠悠蓝,建议游览时间：如果时间允许，爱玩多久玩多久网上十分推荐的海水浴场，海水比其他几个浴场的要清澈，我来时人还是比较多的，只是天气尚冷，我是没有勇气下海。交通：地铁2号线“石老人海滨浴场”站下，B2出口往海边方向再走几百米即到。海边的健身设施，很多人玩的不亦乐乎阴天，显得海水也没有那么蓝了,positive
刘公岛,爱旅行的蛐蛐,那已经是6年前了，一个人从北京飞到威海玩，一个熟人都没有，就走到哪玩到哪，吃海鲜，好便宜，去刘公岛，看博物馆，坐轮船，看大海，完美,positive
威海华夏城,Thamesヽ,《神游传奇秀》剧场游客需乘船观看《神游传奇》演艺，所谓会跑的移动式看台，360度水、陆、空全方位演艺，即船体会随着一幕一幕的变换，缓缓逆时针转动，将观众带往下一幕场景。如此七幕之后，巨轮历经一圈，回到最初的位置。山与水，光与影，声与形的恢弘交织，骏马奔腾、战鼓擂动的壮丽场面，涅槃的凤凰和浴火重生的民族，太平公主在船头的惊鸿一舞，太平禅寺璀璨变幻的灯光秀……无一处不精致，无一点不和谐。感叹实景之美的同时，也为华夏人的创造力所折服。,positive
瞻鲁台,遨游,厚载门外，是喧闹的街市，门内，是华夏几千年走过的风尘仆仆的历史印记。檀香缭绕的古岱庙白发蹒跚的步履，始终无法逃离文明发展进程中的浮华与喧嚣。也许，唯有幽深庭院里那一方遒劲千载的唐槐和汉柏，才能撑起一隅难得的宁静。而我，在皤然流逝的岁月里，愿所有的桑田沧海，都和你慢慢化作碑碣上隐隐沧透的那一笔。,positive
坊茨小镇,机智过人的小陈,位置在坊子区，略远，据说是仿照欧洲小镇建造的，没有什么特色，适合春游和带着宝宝溜达一下。,positive
日照海滨国家森林公园,普劳斯,"来日照玩的朋友,一定要到日照国家海滨森林公园玩一下.这里算是国内很难的一个同时拥有黄金海岸和天然森林氧吧的国家4A级景区,据说它正在争取升级到5A级景区.期待那天早点到来吧.沙滩的沙质很好,而且海岸线很长,完全退潮后,可见的海水距离海岸差不多200米左右.在海里游累了,可以在沙滩上租个太阳伞好好休息一下,看看大海和美景.另一个一定要去的地方就是天然氧吧,炎热的夏天,是个避暑纳凉,亲子活动的好地方.当然来这里也一定要体验渔家了,我们选择了日照老渔家。在这住了2天,老板很热情,服务很周到,海鲜都是新鲜的,老板娘带你去现场买.住在这吃饱喝足,可以到村里夜市逛一下,很热闹.这次旅行可以说非常满意了.这里附上老板电话13563312138.",positive
孔府,憧憬远方,又称衍圣公府，位于孔庙的东侧。孔府有前厅、中居和后园之分，前厅为官衙，是衍圣公处理公务的场所；中居即内宅，是衍圣公及其眷属活动的地方；最后一进是花园，园内假山、鱼池、花坞、竹林以及各种花卉盆景等一应俱全。,positive
烟台山景区,马蜂窝用户闷骚男,我对这种建筑特别感兴趣，特别喜欢到里面看看，但烟台山这有的是开酒吧的，无法进去，还有朝阳街和海岸路上的那些建筑，也因为要修缮，无法进去,positive
泰山风景名胜区-十八盘,上弦月,去时正下着细雨，陡峭的山道中雨雾一团团来了散散了来让人有一种不知身在何处的感觉！山中风大，陡立的山梯上让人几乎不敢多立足，怕一不小心便随风归去。不过那种不知前方是否还有转弯、是否更加陡峭只有攀登不断攀登的经历真的很好,positive
第一海水浴场(滨海北路),逍遥老爷子,不错，这个地方很干净，游泳很爽，赞!,positive
周村古商城,雨昊,周村古镇旱码头原名周村古商城，素有“天下第一村”之称，位于山东省中部，属山东省淄博市辖区之一。早在明末清初，周村作为商业名镇，与中国南方的佛山、景德镇、朱仙镇齐名，成为无水路相通的全国四大旱码头之一。1904年5月19日（清光绪三十年四月初五）周村正式被清政府批准开辟为商埠，使得周村商业更加繁荣。,positive
水泊梁山风景名胜区,??,整座山上我看着就一种树，除了聚义堂还有点特色其他像点将台就一块石头。上面据说有表演，我去的时间不对没看到。进去那里有人说书，作为一个云南人，我表示听不懂。,positive
大乳山滨海旅游度假区,Jenna,昏昏沉沉早上来的，感觉有点距离，金色不错现在越来越喜欢山岭，很舒服自在，花很美,positive
潍坊金宝乐园,要宠我,这里面有很多的动物，也算得上一个动物园了~还有一些游乐设施，比较适合小朋友来玩~,positive
颜庙,iwalkon,路过颜庙，没有孔府孔庙那么人多。感觉也好了很多，可惜不能凭借三孔的门票免票，要不真想进去看看,positive
升仙坊,斐多的三棵树,夜爬泰山，到升仙坊也有十一点多了，夜里的泰山大雾弥漫，天上地下四周一白，当真有升仙的意境。,positive
鲁迅公园,czj,青岛最富特色的临海公园。公园沿狭长基岩海岸东西伸展，东临青岛水族馆和第一海水浴场，全长连绵2公里，公园内红礁、碧水、青松、幽径、亭榭逶迤多姿，景色迷人，是一处兼有园林美和自然美的风景区。,positive
灵岩寺,南宫凡隐,千年古刹，适合闭上眼睛感受意境！,positive
青岛葡萄酒博物馆,慧声慧色,我们去了地下皇宫，现在就是个葡萄酒博物馆，门票50元，结果一车的人都不想去，就在门口拍拍照。,negative
青岛海底世界,昵称,从梦幻水母宫开始参观，不愧是梦幻神奇的水母王国。然后是海兽馆，各种各样的斑海豹、南美海狮、海龟、蠵龟、洪氏环企鹅、麦哲伦企鹅等。听说每年都有几只小海豹在这里诞生。个人比较喜欢的要属海底海底隧道，还不用自己走，大家站在输送带上，专心欣赏这180度常规视窗，尽情感受海洋深处的美景，体验蓝色海洋的梦幻，非常值得一看。,positive
经石峪,leesjing,在十八盘右侧的崖壁上，刻有经文,positive
