景区名称,用户名,评论内容,标签
西霞口风景区,世界和平,离汽车站有1.5小时的车程，公交是当地的小巴，15元\/人。度假区是大型海滨风景区，有许多独立景区，最出名的当属成山头景区，可尽览大陆最美海岸，呼吸新鲜空气，气候适宜，是度假旅游的不二之选。P.S.唯一不足的是景区内的公共卫生、硬件服务设施，望改进。P.P.S.门票实在太贵！,positive
升仙坊,Symon_chen,至昇仙坊，环顾四周，山势陡峻，故名“升仙坊”。于此处小憩，夜间雾气浓厚，仿佛置身云霄之间。衣服早已湿透，此地风大，不敢久歇。,positive
月牙湾公园,2014我打江南走过,风景很美，海滩上分布着非常漂亮的球石，在阳光下闪闪发光，但景区周围的环境及设施还有待改善，目前就是把海湾围起来作为了景区，景区入口有些简陋。,positive
日照九仙山风景区,一笑而过o,"九仙山景区为五莲山旅游风景区的一部分,九仙山则因八仙过海战恶龙,山神倾力育万树而得名。",positive
九水游览区,嵇可睿,崂山景区很值得推荐，临海悬崖全国独一份。景色非常秀美。,positive
花石楼,luyebing9,蒋介石公馆，总的有三层楼，站在窗口可以直接看到海,positive
日照海洋公园,小弥猴,如果想去海洋馆，日照海洋公园是一个不错的选择。日照比起周围的上海青岛等地的极地世界，名气相对来说并不出名，但是里边的内容并不输它们而且还可以避开人潮，更好的欣赏神奇的海洋生物。(交通)位置：日照海洋公园东临万平口海洋公园，西与东夷小镇相连，在碧海路185号，坐公交车32路，万平口四号门，直达。或者坐49路到东夷小镇，然后走地下通道过来。,positive
天主教洪家楼教堂,西顾易安,双塔哥特式的教堂是济南市规模最大的天主教堂采光也很充分,positive
超然楼,雨昊,"超然楼位于济南天下第一泉风景区大明湖畔。是一座拥有几百年历史的名楼，始建于元代。超然楼建筑面积5673平方米，坐落在宽大的汉白玉基上，顶覆铜瓦，楼高51.7米，上下共分七层，气势非常宏伟，号称""江北第一楼""。超然楼是大明湖扩建改造工程的主要内容，主要以展现济南泉城文化，城市园林文化及老济南的民族文化为主。",positive
竹泉村旅游度假区,雪橇耀骅,门口的瀑布一阵阵恶臭，进入之后满村子都是叫卖的小摊贩，两个四十多岁的大妈在台子上有气无力的表演。这完全是人为炒作的产物，一分钱都不值。什么十大最美村落，4A景区，不晓得花了多少钱买通的。这种地方，给我钱，我都不来，太恶心了,negative
青岛基督教堂,yooy758-0,青岛基督教堂青岛太平角公园青岛基督教堂,positive
幸福公园,梦在远方,幸福公园的标志性建筑是幸福门，是可以乘电梯上去观光的。据说这个幸福门是国内设计师设计，拿过什么大奖的。我没看出什么特别，可能他想传递的信息就是“简单就是幸福”吧。幸福公园是开放公园，实际上，威海市区的沿海公园都是免费的，不管是市区东边的沿海公园，自北向南绵延十几公里；还是市区北边沿海大大小小（好像有7、8个之多）的海滨浴场；还有环海路的海滨公园和渔港码头公园等等，统统免费。,positive
石岛赤山景区,麦子·麦芽,一个天蓝到心底的城市，清新的空气，金灿灿的阳光，去那里，不会让你失望。,positive
小鱼山,PlifeOwild,小鱼山虽然不高，但也是山啊，门票10块钱，游玩时间大概半小时。去小鱼山的那天天气不算好，但还是可以站在高处享受上帝视角，还是不错的体验。,positive
青州博物馆,共享梦想,虽然是一个县级博物馆，但规格很高，位列全国县级博物馆第一。没有高大的建筑，功夫都下在了展品和服务上，过年期间也没有没有闭馆。龙兴寺石刻佛教造像群被评为1996年全国十大考古新发现，其数量之大、雕工之精、贴金彩绘保存之好为中国文物考古所罕见。另外明代赵秉忠全国唯一状元卷、汉代宜子孙玉璧、东汉大型跪姿石俑，北魏正光五年陆子章造像和兴安二年黄良造像、带铭文的铜觚、工城左递昌卯戈、西汉铜狩型水滴、南北朝石造像、宋代铜锭、北齐临淮王像碑，元青花三件，仇英清明上河图真迹。如果感兴趣，待上一天不多。,positive
山陕会馆,Fightingwolf,绝对值得去的地方，明清古建筑的典范,positive
车由岛,夏颜,第一次见到这么多鸟在一个地方，还是很震撼的了，值得一来。,positive
王府池子,十万光年回忆,现在这个季节就是一个大的入水池，水还比较浑浊，没看头，去芙蓉街时可以多拐几个弯去看看,negative
历下亭,摩天轮,历下亭，亭又名古历亭，唐天宝四年(公元745年)，伟大爱国诗人杜甫和北海太守书法家李邕曾在亭里饮宴，杜甫并作“陪李北海宴历下亭”诗，留下“海右此亭古，济南名士多”的名句。古亭由此得名历下。此亭是清代建筑，历下亭匾额为清高宗乾隆所书，另外还乾隆记述济南风光的碑刻。亭北为“名士轩”，轩内壁上嵌有杜甫李邕的石刻像和清代名书法家何绍基的“重修历下亭记”。画像刻工精细，栩栩如生，书法笔力雄健，苍劲古朴。,positive
青岛德国总督楼旧址,大獬行走,德国总督府是德占时期的代表建筑，非常精美，是青岛欧式建筑的典范作品。,positive
台儿庄大战纪念馆,花花世界?花花心,弘扬爱国教育，让我们铭记历史。,positive
山东大学,绯葉,山东大学有好几个校区，最老的是洪楼校区。可以去逛逛，熏陶一下。,positive
南山旅游景区,Jason崔杰,这大瀑布没水？就算自来水也得流一点吧景区环境还可以，还有不少在建设的最不喜欢的就是功德箱旁边的“大师”要钱一开口就让掏399……真是服气了,positive
东炮台海滨风景区,?卤小二,东炮台旁边便是月亮湾，海边的风景还是可以的。记得是6年前去的，那时候还可以在景区里放大炮，30元一发炮弹，不知现在能不能了。,positive
山东大学,Jasmine--L,给了5分是因为我家某人是这里毕业的，这次国庆节他来这参加同学会，我是来打酱油的。但是这里真的很好，不愧是名校，我很喜欢，可惜我没机会上了！,positive
威海公园,鬼丫头,威海公园，是国内城市中最大的海滨公园之一。公园北起四方路，南至平度路，面向威海湾。总长3218.6米，平均宽度144.3米，以海滨南路为界，东西两侧公园占地总面积46.5万平方米。威海公园沿着海滨南路两侧形成两条绿化带，路西侧绿化带宽30米，路东侧建成宽70米的带状开放式公园。威海公园于2000年2月动工，2001年5月31日完工，6月1日正式开园,positive
青岛美术馆,大月月很博爱,在鱼山路上面，4点就闭关了，没有进去，感觉比较一般,neutral
一天门,传奇游侠,如果是从红门徒步爬山，会一次经过一天门、中天门、龙门、升仙坊、南天门，寓意比较好。,positive
船形街,凌纵九霄,台儿庄内一个景点感觉有点坑，买了门票进去再看那些商铺买东西，等于花钱进商场买东西,positive
斗母宫,ASK_地底奇人,泰山景区中最为幽静的所在，也是开始登泰山所见的景点之一。,positive
颜庙,驥子龍馼,看完孔府孔庙孔林之后，再去颜庙感觉只有两个字——无趣。SO，只有两颗星。,negative
